# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ARD] AdaptiveRandomForest(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=10, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.1, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.005, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequentialAndAdapt(batch_size=1, data_points_for_classification=False, max_samples=581012, max_time=inf, metaKB={0.0: 60, 0.1: 30, 0.2: 30, 0.3: 30, 0.4: 60, 0.5: 70, 0.6: 60, 0.7: 30, 0.8: 30, 0.9: 30}, metrics=['accuracy', 'kappa', 'running_time', 'ram_hours'], n_wait=1000, output_file='Covertype_AdativeSetting_Trees_Adapt_Drift_ARDClassic_Run0.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARD],current_acc_[ARD],mean_kappa_[ARD],current_kappa_[ARD],training_time_[ARD],testing_time_[ARD],total_running_time_[ARD],ram_hours_[ARD]
999,0.760000,0.760000,0.514374,0.514374,100.800922,8.515560,109.316482,0.001181
1999,0.771667,0.781000,0.667572,0.706841,225.540808,20.571443,246.112251,0.004600
2999,0.791071,0.826000,0.736263,0.780347,336.706667,30.578513,367.285180,0.006850
3999,0.816053,0.886000,0.777228,0.803888,478.351430,44.500759,522.852190,0.010793
4999,0.821667,0.843000,0.782454,0.747567,633.795432,59.548258,693.343691,0.016460
5999,0.817586,0.798000,0.778430,0.728659,775.049205,71.299989,846.349193,0.020694
6999,0.814118,0.794000,0.776652,0.752955,931.521247,84.714172,1016.235419,0.025161
7999,0.816282,0.831000,0.782203,0.789187,1076.036342,97.847825,1173.884167,0.028688
8999,0.813636,0.793000,0.780623,0.744722,1232.346591,112.332751,1344.679341,0.033012
9999,0.815408,0.831000,0.784199,0.698454,1355.469489,123.551673,1479.021162,0.037617
10999,0.813704,0.797000,0.782503,0.743426,1497.703795,136.356812,1634.060607,0.042816
11999,0.809831,0.768000,0.778106,0.704206,1655.659350,149.725268,1805.384618,0.049533
12999,0.807891,0.785000,0.775656,0.705500,1834.044367,164.172662,1998.217028,0.058789
13999,0.802754,0.737000,0.769699,0.686665,2011.124144,178.548724,2189.672868,0.066213
14999,0.799932,0.761000,0.766547,0.690025,2193.671514,193.372534,2387.044047,0.075613
15999,0.807215,0.915000,0.774811,0.801386,2305.616541,203.136683,2508.753224,0.079568
16999,0.813095,0.906000,0.780492,0.679835,2423.529047,214.701545,2638.230592,0.083816
17999,0.819663,0.930000,0.786503,0.791311,2530.706139,226.291472,2756.997610,0.086407
18999,0.827606,0.969000,0.794044,0.919929,2627.253493,238.177121,2865.430614,0.088584
19999,0.833838,0.951000,0.799231,0.842882,2694.855240,246.270988,2941.126229,0.089538
20999,0.839760,0.957000,0.803997,0.861138,2785.512439,257.307105,3042.819544,0.091344
21999,0.846606,0.989000,0.809778,0.957897,2871.069304,268.270324,3139.339628,0.093081
22999,0.851842,0.966000,0.813577,0.858823,2955.290421,278.634158,3233.924579,0.094699
23999,0.856134,0.954000,0.816621,0.863496,3048.670952,289.529211,3338.200163,0.096877
24999,0.860605,0.967000,0.819890,0.893007,3133.745911,299.545877,3433.291788,0.098545
25999,0.865194,0.979000,0.823403,0.929321,3216.536052,309.651808,3526.187860,0.100308
26999,0.869067,0.969000,0.825909,0.870973,3294.326553,318.859955,3613.186509,0.101880
27999,0.871079,0.925000,0.826326,0.763120,3378.708835,328.217998,3706.926833,0.103524
28999,0.873646,0.945000,0.827484,0.812517,3449.004043,336.416633,3785.420677,0.104900
29999,0.876443,0.957000,0.829002,0.845250,3500.251144,342.242390,3842.493534,0.105914
30999,0.878766,0.948000,0.830035,0.823427,3551.878330,348.080354,3899.958684,0.107088
31999,0.881289,0.959000,0.831647,0.879643,3604.181379,353.892140,3958.073519,0.108446
32999,0.882835,0.932000,0.832019,0.807152,3678.097189,362.129895,4040.227084,0.110402
33999,0.884231,0.930000,0.832313,0.808894,3770.765911,372.212128,4142.978039,0.113291
34999,0.886092,0.949000,0.833218,0.848434,3851.228423,381.343450,4232.571874,0.115984
35999,0.887849,0.949000,0.834509,0.880137,3910.886475,387.553897,4298.440372,0.118192
36999,0.889810,0.960000,0.836043,0.901049,3982.102279,395.567029,4377.669308,0.120691
37999,0.892011,0.973000,0.837930,0.930142,4079.274836,406.868082,4486.142917,0.124537
38999,0.894407,0.985000,0.840410,0.964848,4153.698711,415.804806,4569.503517,0.127586
39999,0.896960,0.996000,0.842737,0.987684,4205.730698,422.047863,4627.778561,0.129736
