# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ARD] AdaptiveRandomForest(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=10, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.1, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.005, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequentialAndAdapt(batch_size=1, data_points_for_classification=False, max_samples=45312, max_time=inf, metaKB={0.0: 60, 0.1: 30, 0.2: 30, 0.3: 30, 0.4: 60, 0.5: 70, 0.6: 60, 0.7: 30, 0.8: 30, 0.9: 30}, metrics=['accuracy', 'kappa', 'running_time', 'ram_hours'], n_wait=500, output_file='Electricity_AdativeSetting_Trees_Adapt_Drift_ARDClassic_Run0.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARD],current_acc_[ARD],mean_kappa_[ARD],current_kappa_[ARD],training_time_[ARD],testing_time_[ARD],total_running_time_[ARD],ram_hours_[ARD]
499,0.863333,0.863333,0.720962,0.720962,20.869422,1.581555,22.450977,0.000040
999,0.882500,0.894000,0.764875,0.787694,45.045957,4.330560,49.376517,0.000182
1499,0.899231,0.926000,0.784409,0.758964,68.735513,7.095665,75.831178,0.000364
1999,0.889444,0.864000,0.766602,0.721749,97.808701,9.935036,107.743738,0.000657
2499,0.867826,0.790000,0.721214,0.562573,132.495631,12.769973,145.265604,0.001105
2999,0.875714,0.912000,0.737557,0.813246,165.825506,15.598667,181.424174,0.001631
3499,0.874848,0.870000,0.741125,0.738763,202.497516,18.535582,221.033098,0.002313
3999,0.879474,0.910000,0.745439,0.743033,218.934585,20.257701,239.192286,0.002465
4499,0.880233,0.886000,0.744698,0.733136,239.450087,21.986333,261.436420,0.002670
4999,0.882292,0.900000,0.748256,0.779136,270.076702,24.721148,294.797850,0.003065
5499,0.878868,0.846000,0.741875,0.681450,305.098777,27.526930,332.625706,0.003620
5999,0.873966,0.822000,0.733530,0.645260,345.621430,30.412266,376.033695,0.004399
6499,0.873016,0.862000,0.732560,0.719348,388.957274,33.378327,422.335601,0.005383
6999,0.872206,0.862000,0.730519,0.706023,433.773404,36.353697,470.127101,0.006540
7499,0.866849,0.794000,0.720494,0.588000,487.016530,39.373660,526.390191,0.008067
7999,0.865641,0.848000,0.721012,0.687371,539.217221,42.395945,581.613166,0.009673
8499,0.867711,0.900000,0.727156,0.798374,587.278387,45.441248,632.719635,0.011269
8999,0.870341,0.914000,0.733960,0.826719,634.930391,48.507731,683.438122,0.012983
9499,0.867419,0.816000,0.728809,0.635361,691.356092,51.599413,742.955505,0.015134
9999,0.866939,0.858000,0.728485,0.716472,752.466778,54.720927,807.187705,0.017643
10499,0.868544,0.900000,0.732819,0.795832,805.921287,57.843637,863.764923,0.019998
