# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ARD] AdaptiveRandomForest(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=10, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.1, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.005, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequentialAndAdapt(batch_size=1, data_points_for_classification=False, max_samples=45312, max_time=inf, metaKB={0.0: 60, 0.1: 30, 0.2: 30, 0.3: 30, 0.4: 60, 0.5: 70, 0.6: 60, 0.7: 30, 0.8: 30, 0.9: 30}, metrics=['accuracy', 'kappa', 'running_time', 'ram_hours'], n_wait=50, output_file='Electricity_AdativeSetting_Trees_Adapt_Drift_ARDClassic_Run0.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARD],current_acc_[ARD],mean_kappa_[ARD],current_kappa_[ARD],training_time_[ARD],testing_time_[ARD],total_running_time_[ARD],ram_hours_[ARD]
200,1.000000,1.000000,0.000000,0.000000,6.909956,0.004953,6.914909,0.000000
201,1.000000,1.000000,0.000000,0.000000,6.954319,0.009797,6.964116,0.000000
202,1.000000,1.000000,0.000000,0.000000,6.989080,0.014594,7.003674,0.000000
203,1.000000,1.000000,0.000000,0.000000,7.029863,0.019262,7.049125,0.000000
249,0.860000,0.860000,0.590164,0.590164,9.080862,0.246226,9.327087,0.000003
299,0.900000,0.940000,0.634770,0.696356,11.070152,0.494062,11.564215,0.000006
349,0.913333,0.940000,0.804492,0.864865,13.084139,0.738933,13.823071,0.000010
399,0.910000,0.900000,0.813992,0.782609,15.235121,0.993187,16.228309,0.000015
449,0.892000,0.820000,0.779195,0.640000,17.574517,1.251837,18.826354,0.000021
499,0.893333,0.900000,0.782016,0.796085,19.822056,1.513725,21.335781,0.000027
549,0.902857,0.960000,0.802306,0.920000,22.092014,1.770915,23.862930,0.000035
599,0.887500,0.780000,0.766598,0.337349,24.406702,2.031046,26.437748,0.000043
649,0.888889,0.900000,0.771272,0.801902,26.678287,2.287768,28.966055,0.000052
699,0.894000,0.940000,0.785404,0.854932,28.939221,2.548578,31.487799,0.000062
749,0.892727,0.880000,0.784428,0.728752,31.264071,2.814199,34.078270,0.000072
799,0.901667,1.000000,0.802627,1.000000,33.232340,3.076536,36.308876,0.000082
849,0.900000,0.880000,0.798869,0.743590,35.452164,3.337164,38.789327,0.000093
899,0.895714,0.840000,0.791029,0.644128,37.995414,3.603684,41.599097,0.000106
949,0.894667,0.880000,0.788548,0.749164,40.491049,3.869747,44.360797,0.000120
999,0.901250,1.000000,0.802401,1.000000,42.577683,4.138450,46.716133,0.000132
1049,0.895294,0.800000,0.789575,0.134948,44.877748,4.400430,49.278178,0.000146
1099,0.894444,0.880000,0.786316,0.358974,46.965507,4.660046,51.625553,0.000158
1149,0.889474,0.800000,0.774982,0.438202,49.200255,4.922055,54.122310,0.000172
1199,0.895000,1.000000,0.784880,1.000000,51.274083,5.181970,56.456053,0.000186
1249,0.896190,0.920000,0.786381,0.803150,53.495416,5.441194,58.936611,0.000200
1299,0.900909,1.000000,0.795451,1.000000,55.619064,5.701346,61.320410,0.000215
1349,0.903478,0.960000,0.799898,0.900990,58.017255,5.965194,63.982450,0.000232
